State,County,Month,Avg Daily Max Air Temperature (F),Avg Daily Min Air Temperature (F)
Alabama,"Autauga County, AL",1,54.3,35.83
Alabama,"Autauga County, AL",2,58.61,39.15
Alabama,"Autauga County, AL",3,66,45.22
Alabama,"Autauga County, AL",4,73.49,52.26
Alabama,"Autauga County, AL",5,81.14,62.6
Alabama,"Autauga County, AL",6,86.99,70.94
Alabama,"Autauga County, AL",7,89.42,75.19
Alabama,"Autauga County, AL",8,89.62,74.96
Alabama,"Autauga County, AL",9,84.96,67.6
Alabama,"Autauga County, AL",10,75.78,54.94
Alabama,"Autauga County, AL",11,65.78,45.38
Alabama,"Autauga County, AL",12,56.95,38.18
Alabama,"Autauga County, AL",,73.65,55.27
Alabama,"Baldwin County, AL",1,59.6,43.38
Alabama,"Baldwin County, AL",2,62.61,46.1
Alabama,"Baldwin County, AL",3,68.38,51.44
Alabama,"Baldwin County, AL",4,74.79,57.88
Alabama,"Baldwin County, AL",5,81.36,66.88
Alabama,"Baldwin County, AL",6,86.45,74.47
Alabama,"Baldwin County, AL",7,88.25,77.77
Alabama,"Baldwin County, AL",8,88.25,77.65
Alabama,"Baldwin County, AL",9,84.9,72.02
Alabama,"Baldwin County, AL",10,77.75,61.15
Alabama,"Baldwin County, AL",11,69.42,52.33
Alabama,"Baldwin County, AL",12,62.15,45.76
Alabama,"Baldwin County, AL",,75.38,60.64
Alabama,"Barbour County, AL",1,56.31,37.95
Alabama,"Barbour County, AL",2,60.72,41.08
Alabama,"Barbour County, AL",3,67.95,47.16
Alabama,"Barbour County, AL",4,74.93,54.02
Alabama,"Barbour County, AL",5,82.34,63.91
Alabama,"Barbour County, AL",6,87.9,72.21
Alabama,"Barbour County, AL",7,89.72,75.7
Alabama,"Barbour County, AL",8,89.62,75.76
Alabama,"Barbour County, AL",9,85.47,68.95
Alabama,"Barbour County, AL",10,76.98,56.45
Alabama,"Barbour County, AL",11,67.62,46.91
Alabama,"Barbour County, AL",12,58.99,40
Alabama,"Barbour County, AL",,74.94,56.75
Alabama,"Bibb County, AL",1,53.3,34.96
Alabama,"Bibb County, AL",2,57.74,38.38
Alabama,"Bibb County, AL",3,65.21,44.6
Alabama,"Bibb County, AL",4,72.74,51.7
Alabama,"Bibb County, AL",5,80.21,61.78
Alabama,"Bibb County, AL",6,86.23,70.33
Alabama,"Bibb County, AL",7,89.03,74.87
Alabama,"Bibb County, AL",8,89.38,74.44
Alabama,"Bibb County, AL",9,84.34,66.51
Alabama,"Bibb County, AL",10,74.97,54.07
Alabama,"Bibb County, AL",11,64.77,44.53
Alabama,"Bibb County, AL",12,55.95,37.27
Alabama,"Bibb County, AL",,72.89,54.53
Alabama,"Blount County, AL",1,49.84,32.77
Alabama,"Blount County, AL",2,54.34,36.22
Alabama,"Blount County, AL",3,62.12,42.9
Alabama,"Blount County, AL",4,70.04,50.9
Alabama,"Blount County, AL",5,77.85,60.92
Alabama,"Blount County, AL",6,84.5,69.41
Alabama,"Blount County, AL",7,87.38,73.63
Alabama,"Blount County, AL",8,87.99,73.26
Alabama,"Blount County, AL",9,82.34,64.92
Alabama,"Blount County, AL",10,72.39,52.76
Alabama,"Blount County, AL",11,61.94,43.28
Alabama,"Blount County, AL",12,52.59,35.61
Alabama,"Blount County, AL",,70.35,53.13
Alabama,"Bullock County, AL",1,55.24,36.49
Alabama,"Bullock County, AL",2,59.64,39.77
Alabama,"Bullock County, AL",3,66.86,45.79
Alabama,"Bullock County, AL",4,74.08,52.72
